"날짜","종가","시가","고가","저가","거래량","변동 %"
"2023- 07- 01","14,113.70","13,798.70","14,232.11","13,567.58","996.35M","2.36%"
"2023- 06- 01","13,787.92","12,944.46","13,864.06","12,903.63","25.04B","6.59%"
"2023- 05- 01","12,935.29","12,210.05","13,154.29","11,925.37","21.61B","5.80%"
"2023- 04- 01","12,226.58","12,146.09","12,245.43","11,798.77","17.28B","0.04%"
"2023- 03- 01","12,221.91","11,447.58","12,227.93","10,982.80","25.37B","6.69%"
"2023- 02- 01","11,455.54","11,573.14","12,269.56","11,334.47","19.32B","-1.11%"
"2023- 01- 01","11,584.55","10,562.06","11,691.89","10,265.04","19.91B","10.68%"
"2022- 12- 01","10,466.48","11,475.17","11,571.64","10,207.47","21.69B","-8.73%"
"2022- 11- 01","11,468.00","11,154.74","11,492.62","10,262.93","20.08B","4.37%"
"2022- 10- 01","10,988.15","10,659.01","11,230.44","10,088.83","19.93B","3.90%"
"2022- 09- 01","10,575.62","11,707.44","12,270.19","10,572.33","22.03B","-10.50%"
"2022- 08- 01","11,816.20","12,317.96","13,181.09","11,790.03","21.71B","-4.64%"
"2022- 07- 01","12,390.69","11,006.83","12,426.26","10,911.45","18.16B","12.35%"
"2022- 06- 01","11,028.74","12,176.89","12,320.12","10,565.13","26.74B","-8.71%"
"2022- 05- 01","12,081.39","12,331.69","12,985.01","11,035.69","23.28B","-2.05%"
"2022- 04- 01","12,334.64","14,269.53","14,534.38","12,315.74","19.02B","-13.26%"
"2022- 03- 01","14,220.52","13,716.70","14,646.90","12,555.35","26.96B","3.41%"
"2022- 02- 01","13,751.40","14,277.43","14,509.56","12,587.88","18.89B","-3.43%"
"2022- 01- 01","14,239.88","15,732.50","15,852.14","13,094.65","20.65B","-8.98%"
"2021- 12- 01","15,644.97","15,752.27","15,901.47","14,860.04","22.79B","0.69%"
"2021- 11- 01","15,537.69","15,541.26","16,212.23","15,451.38","21.65B","0.25%"
"2021- 10- 01","15,498.39","14,494.93","15,504.12","14,181.69","18.71B","7.27%"
"2021- 09- 01","14,448.58","15,308.97","15,403.44","14,444.30","20.39B","-5.31%"
"2021- 08- 01","15,259.24","14,758.60","15,288.08","14,423.16","17.68B","4.00%"
"2021- 07- 01","14,672.68","14,493.69","14,863.65","14,178.66","17.46B","1.16%"
"2021- 06- 01","14,503.95","13,829.05","14,535.97","13,548.93","24.05B","5.49%"
"2021- 05- 01","13,748.74","14,031.77","14,042.12","13,002.54","18.49B","-1.53%"
"2021- 04- 01","13,962.68","13,414.33","14,211.57","13,404.18","18.51B","5.40%"
"2021- 03- 01","13,246.87","13,406.16","13,620.71","12,397.05","29.12B","0.41%"
"2021- 02- 01","13,192.35","13,226.18","14,175.12","13,003.98","27.40B","0.93%"
"2021- 01- 01","13,070.70","12,958.52","13,728.98","12,543.24","26.55B","1.42%"
"2020- 12- 01","12,888.28","12,313.36","12,973.33","12,214.74","23.50B","5.65%"
"2020- 11- 01","12,198.74","11,010.45","12,244.64","10,830.95","19.47B","11.80%"
"2020- 10- 01","10,911.59","11,291.99","11,965.54","10,822.57","16.77B","-2.29%"
"2020- 09- 01","11,167.68","11,850.96","12,074.07","10,519.49","20.52B","-5.16%"
"2020- 08- 01","11,775.46","10,848.64","11,829.84","10,762.71","17.24B","9.59%"
"2020- 07- 01","10,745.28","10,063.67","10,839.93","10,048.04","20.68B","6.83%"
"2020- 06- 01","10,058.76","9,471.42","10,221.85","9,403.00","27.30B","5.99%"
"2020- 05- 01","9,489.87","8,681.29","9,523.64","8,537.83","18.17B","6.75%"
"2020- 04- 01","8,889.55","7,459.50","8,957.26","7,288.11","18.76B","15.45%"
"2020- 03- 01","7,700.10","8,667.14","9,070.32","6,631.42","25.11B","-10.12%"
"2020- 02- 01","8,567.37","9,190.72","9,838.37","8,264.16","13.39B","-6.38%"
"2020- 01- 01","9,150.94","9,039.46","9,451.43","8,943.50","12.89B","1.99%"
"2019- 12- 01","8,972.60","8,672.84","9,052.00","8,435.40","12.25B","3.54%"
"2019- 11- 01","8,665.47","8,335.05","8,705.91","8,326.56","10.75B","4.50%"
"2019- 10- 01","8,292.36","8,026.83","8,335.56","7,700.00","11.23B","3.66%"
"2019- 09- 01","7,999.33","7,906.44","8,243.80","7,847.32","11.51B","0.46%"
"2019- 08- 01","7,962.88","8,190.56","8,311.04","7,662.90","11.99B","-2.60%"
"2019- 07- 01","8,175.42","8,145.85","8,339.64","8,059.29","11.14B","2.11%"
"2019- 06- 01","8,006.24","7,441.21","8,088.88","7,292.21","12.57B","7.42%"
"2019- 05- 01","7,453.15","8,132.93","8,164.71","7,448.23","12.28B","-7.93%"
"2019- 04- 01","8,095.39","7,800.24","8,176.08","7,777.10","10.75B","4.74%"
"2019- 03- 01","7,729.32","7,587.45","7,850.10","7,332.92","13.04B","2.61%"
"2019- 02- 01","7,532.53","7,256.37","7,602.69","7,225.14","10.64B","3.44%"
"2019- 01- 01","7,281.74","6,506.91","7,303.12","6,457.13","12.23B","9.74%"
